timestamp,open,high,low,close,volume
2025-01-16T09:00:00,2750.08,2750.26,2749.98,2750.11,1440
2025-01-16T09:00:01,2750.07,2750.26,2750.05,2750.1,2138
2025-01-16T09:00:02,2750.06,2750.13,2750.03,2750.06,3002
2025-01-16T09:00:03,2750.18,2750.35,2749.99,2750.2,2670
2025-01-16T09:00:04,2750.24,2750.36,2750.1,2750.21,4983
2025-01-16T09:00:05,2750.31,2750.44,2750.26,2750.33,4277
2025-01-16T09:00:06,2750.31,2750.49,2750.18,2750.33,4408
2025-01-16T09:00:07,2750.36,2750.43,2750.21,2750.36,2777
2025-01-16T09:00:08,2750.34,2750.4,2750.23,2750.36,1686
2025-01-16T09:00:09,2750.27,2750.4,2750.13,2750.28,4349
2025-01-16T09:00:10,2750.21,2750.37,2750.06,2750.22,1089
2025-01-16T09:00:11,2750.21,2750.39,2750.02,2750.21,1821
2025-01-16T09:00:12,2750.21,2750.3,2750.01,2750.23,4842
2025-01-16T09:00:13,2750.33,2750.51,2750.13,2750.34,3030
2025-01-16T09:00:14,2750.27,2750.31,2750.08,2750.29,3720
2025-01-16T09:00:15,2750.29,2750.48,2750.26,2750.27,1463
2025-01-16T09:00:16,2750.27,2750.42,2750.22,2750.29,3405
2025-01-16T09:00:17,2750.34,2750.39,2750.25,2750.35,4490
2025-01-16T09:00:18,2750.38,2750.42,2750.31,2750.4,1575
2025-01-16T09:00:19,2750.39,2750.49,2750.23,2750.41,3582
2025-01-16T09:00:20,2750.37,2750.53,2750.26,2750.36,4746
2025-01-16T09:00:21,2750.47,2750.53,2750.44,2750.46,4840
2025-01-16T09:00:22,2750.65,2750.78,2750.57,2750.6,1214
2025-01-16T09:00:23,2750.64,2750.81,2750.51,2750.61,3720
2025-01-16T09:00:24,2750.57,2750.77,2750.41,2750.59,2273
2025-01-16T09:00:25,2750.48,2750.66,2750.4,2750.45,1127
2025-01-16T09:00:26,2750.51,2750.6,2750.47,2750.51,1696
2025-01-16T09:00:27,2750.6,2750.66,2750.55,2750.67,2172
2025-01-16T09:00:28,2750.66,2750.79,2750.61,2750.65,2350
2025-01-16T09:00:29,2750.77,2750.81,2750.68,2750.81,4480
