timestamp,open,high,low,close,volume
2025-01-16T09:00:00,320.01,320.06,319.99,320.02,3356
2025-01-16T09:00:01,320.07,320.26,320.03,320.07,2423
2025-01-16T09:00:02,319.94,320.03,319.81,319.95,4289
2025-01-16T09:00:03,319.94,319.97,319.79,319.9,3533
2025-01-16T09:00:04,319.85,319.94,319.72,319.82,1836
2025-01-16T09:00:05,319.82,320.01,319.71,319.83,4852
2025-01-16T09:00:06,319.86,320.03,319.7,319.87,1352
2025-01-16T09:00:07,319.86,319.93,319.67,319.84,4615
2025-01-16T09:00:08,319.94,320.08,319.8,319.94,3923
2025-01-16T09:00:09,319.98,320.08,319.8,319.96,1843
2025-01-16T09:00:10,319.94,320.07,319.81,319.94,2567
2025-01-16T09:00:11,319.9,319.95,319.84,319.91,4870
2025-01-16T09:00:12,319.91,319.95,319.81,319.9,4709
2025-01-16T09:00:13,319.98,320.0,319.88,319.95,2910
2025-01-16T09:00:14,319.94,320.04,319.79,319.94,1438
2025-01-16T09:00:15,319.99,320.05,319.9,319.99,4219
2025-01-16T09:00:16,320.01,320.07,319.85,320.04,1133
2025-01-16T09:00:17,319.97,320.02,319.77,319.95,3419
2025-01-16T09:00:18,320.01,320.11,319.9,320.03,4215
2025-01-16T09:00:19,319.98,320.1,319.9,319.97,1951
2025-01-16T09:00:20,319.95,320.14,319.81,319.94,4376
2025-01-16T09:00:21,320.01,320.13,319.86,320.03,2624
2025-01-16T09:00:22,319.99,320.17,319.82,319.98,1929
2025-01-16T09:00:23,320.04,320.23,319.95,320.05,2242
2025-01-16T09:00:24,320.08,320.15,319.97,320.03,2772
2025-01-16T09:00:25,320.02,320.2,319.84,320.01,3258
2025-01-16T09:00:26,320.01,320.15,319.95,319.99,2267
2025-01-16T09:00:27,320.07,320.13,320.04,320.06,2765
2025-01-16T09:00:28,320.13,320.29,320.03,320.14,1520
2025-01-16T09:00:29,320.1,320.13,320.0,320.11,2055
2025-01-16T09:00:30,320.14,320.27,319.99,320.1,4564
2025-01-16T09:00:31,320.16,320.26,320.0,320.16,1290
2025-01-16T09:00:32,320.08,320.13,320.03,320.09,3987
2025-01-16T09:00:33,320.02,320.19,319.91,320.01,1644
2025-01-16T09:00:34,320.05,320.08,319.91,320.08,4998
2025-01-16T09:00:35,320.03,320.2,319.99,320.04,1834
2025-01-16T09:00:36,320.01,320.1,319.84,320.03,3902
2025-01-16T09:00:37,320.01,320.16,319.84,320.02,2869
2025-01-16T09:00:38,320.08,320.23,320.05,320.09,1246
2025-01-16T09:00:39,320.08,320.25,320.02,320.08,1824
2025-01-16T09:00:40,320.04,320.2,319.99,320.02,1594
2025-01-16T09:00:41,320.14,320.18,320.06,320.14,3753
2025-01-16T09:00:42,320.11,320.21,320.0,320.12,2419
2025-01-16T09:00:43,320.12,320.26,319.97,320.13,2224
2025-01-16T09:00:44,320.13,320.27,320.07,320.14,4081
2025-01-16T09:00:45,320.12,320.22,320.04,320.12,4806
2025-01-16T09:00:46,320.17,320.29,320.04,320.18,4422
2025-01-16T09:00:47,320.15,320.19,320.11,320.16,1958
